               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 114,            0.018247,             0.01116,           0.0027555,             0.98431,                   1,               0.995,             0.84699,            0.018295,           0.0051873,           0.0015305,            0.006271,            0.006271,            0.006271
                 115,            0.021217,            0.011647,           0.0029109,             0.98808,             0.99996,               0.995,              0.8176,            0.015523,           0.0047251,           0.0017073,            0.006238,            0.006238,            0.006238
                 116,            0.021493,            0.012387,           0.0025155,             0.98879,                   1,               0.995,             0.78001,            0.020599,           0.0050512,           0.0015775,            0.006205,            0.006205,            0.006205
                 117,            0.026142,             0.01516,            0.002552,             0.99194,                   1,               0.995,             0.80515,            0.017321,           0.0048648,           0.0016547,            0.006172,            0.006172,            0.006172
                 118,            0.020729,            0.014966,           0.0030778,             0.99561,                   1,               0.995,             0.81264,            0.017114,           0.0050598,           0.0016108,            0.006139,            0.006139,            0.006139
                 119,            0.018429,            0.011906,           0.0023247,             0.99537,                   1,               0.995,             0.88196,            0.014395,           0.0045731,           0.0016245,            0.006106,            0.006106,            0.006106
                 120,            0.020493,            0.011381,           0.0027642,             0.99573,                   1,               0.995,             0.78984,            0.022995,           0.0047871,           0.0016178,            0.006073,            0.006073,            0.006073
                 121,            0.023983,            0.014516,            0.002794,             0.99328,                   1,               0.995,             0.82907,            0.019616,            0.004605,           0.0016157,             0.00604,             0.00604,             0.00604
                 122,            0.024597,            0.010415,           0.0022083,             0.99538,                   1,               0.995,             0.76062,            0.021882,           0.0046116,           0.0016152,            0.006007,            0.006007,            0.006007
                 123,            0.021416,            0.012933,           0.0023148,             0.98554,                   1,               0.995,             0.82394,            0.017817,           0.0044818,            0.001837,            0.005974,            0.005974,            0.005974
                 124,            0.020291,            0.011982,           0.0028555,             0.97743,             0.99978,               0.995,             0.81168,            0.019428,           0.0049839,           0.0020757,            0.005941,            0.005941,            0.005941
                 125,            0.021511,            0.010744,           0.0022974,             0.98771,                   1,               0.995,             0.81961,            0.019117,            0.005039,           0.0018015,            0.005908,            0.005908,            0.005908
                 126,            0.020763,            0.010631,            0.002377,             0.98436,                   1,               0.995,             0.81653,            0.019869,           0.0052835,           0.0017857,            0.005875,            0.005875,            0.005875
                 127,            0.021936,            0.015007,           0.0021681,             0.98431,             0.99991,               0.995,             0.85137,            0.015638,           0.0047345,           0.0016905,            0.005842,            0.005842,            0.005842
                 128,            0.019808,            0.010963,           0.0024685,             0.98858,                   1,               0.995,             0.81571,            0.016213,           0.0048569,           0.0016552,            0.005809,            0.005809,            0.005809
                 129,            0.019966,            0.012952,            0.002973,             0.92607,             0.95033,               0.995,             0.81283,            0.016062,            0.005016,           0.0038943,            0.005776,            0.005776,            0.005776
